sample,signal_type,horizon_sessions,dimension,bucket,n,benchmark_n,tickers,raw_match_rate,raw_match_ci_low,raw_match_ci_high,net_match_rate_10bps,mean_directional_return,median_directional_return,mean_directional_excess,median_directional_excess,mean_excess_ci_low,mean_excess_ci_high
all_events,smart_alpha_ui,5,source_count,2,29,29,18,0.5862068965517241,0.40737528478515245,0.7448706472035449,0.5862068965517241,0.007128035633099548,0.007233745860205643,-0.0004559055439667182,0.003392899984906439,-0.03913729250545512,0.04435553506173315
all_events,smart_alpha_ui,5,agreement,unanimous,72,72,42,0.5416666666666666,0.42739664196707616,0.6517156130486407,0.5416666666666666,-0.004515633458176942,0.0058750688329820555,-0.006264400396861529,-0.0008115104457619982,-0.028053227548964357,0.015858898020105677
all_events,smart_alpha_ui,5,period,first_half_through_2026-01-26,31,31,21,0.6774193548387096,0.5014068555995079,0.8143076925268695,0.6774193548387096,0.014572800730319968,0.01532175689479054,0.007837352472066302,0.009813027457151957,-0.01668212154216355,0.02901375197998933
all_events,smart_alpha_ui,5,period,second_half_after_2026-01-26,41,41,30,0.43902439024390244,0.2988990477210983,0.5895973484824271,0.43902439024390244,-0.0189483519909429,-0.01831021437578817,-0.016926701346538668,-0.011891537923122475,-0.04885239789628439,0.025806764204460122
all_events,smart_alpha_ui,5,consensus_overlap,overlap,41,41,23,0.5853658536585366,0.433668353568366,0.7224366917466984,0.5853658536585366,0.002149255424635039,0.007463915262609033,-0.000671077859248665,0.009757540175999502,-0.030186731866906295,0.0328301686974636
all_events,smart_alpha_ui,5,consensus_overlap,standalone,31,31,25,0.4838709677419355,0.3196998603127883,0.6515988171302683,0.4838709677419355,-0.013330486496734725,-0.01831021437578817,-0.013662020527252735,-0.011891537923122475,-0.046079649463329035,0.01907954484734904
all_events,smart_alpha_ui,20,direction,bear,9,9,8,0.4444444444444444,0.188775429471914,0.7333526542559703,0.4444444444444444,-0.04448862544865436,-0.05202498056769156,-0.005838545968892834,0.027100340446789994,-0.09690146513002866,0.07388760611326536
all_events,smart_alpha_ui,20,direction,bull,60,60,36,0.4666666666666667,0.34627701540988,0.5910679132886489,0.4666666666666667,-0.019586875616600906,-0.03026397055299923,-0.029915868935542145,-0.02745491368285463,-0.08955132859875857,0.030474579202070785
all_events,smart_alpha_ui,20,source_count,1,41,41,29,0.4146341463414634,0.2775633082533015,0.5663316464316339,0.4146341463414634,-0.03771749637036374,-0.05202498056769156,-0.03467498132754077,-0.03686085095237368,-0.07431975901917137,0.006691984241603548
all_events,smart_alpha_ui,20,source_count,2,28,28,17,0.5357142857142857,0.3581239514210167,0.7046869626034041,0.5357142857142857,-0.0010426005303225089,0.013899709731317822,-0.015208029122264016,-0.002329348784888663,-0.1293225732562891,0.07797368211154722
all_events,smart_alpha_ui,20,agreement,unanimous,69,69,40,0.463768115942029,0.35113991297637237,0.5802179923963817,0.463768115942029,-0.022834929942520923,-0.037745344740815256,-0.026775348548587888,-0.020576826605358756,-0.07634518882575676,0.024264736386043227
all_events,smart_alpha_ui,20,period,first_half_through_2026-01-26,31,31,21,0.5161290322580645,0.34840118286973176,0.6803001396872117,0.5161290322580645,0.010210114445600483,0.00923827784556397,0.0040144149320577825,-0.008966185210813604,-0.06226519318887772,0.05010238473014266
all_events,smart_alpha_ui,20,period,second_half_after_2026-01-26,38,38,27,0.42105263157894735,0.2785227481181953,0.5780792938687267,0.42105263157894735,-0.04979272931177786,-0.05624504842338063,-0.05189331349332514,-0.03656189412832206,-0.11675609411179073,0.02763107923145418
all_events,smart_alpha_ui,20,consensus_overlap,overlap,40,40,22,0.475,0.32935229550181694,0.6250289314607027,0.475,-0.006943529940288645,-0.025973771289004466,-0.016268230900038264,-0.014078430117417828,-0.08891932771002735,0.05870606614008533
