source,strategy,rank_band_pct,signal_window_days,holding_days,position_mode,n_input_events,average_top_authors,average_bottom_authors,average_top_consensus,average_bottom_consensus,start_day,end_day,trading_days,active_days,n_trades,overlap_skipped,exposure_pct,average_positions,total_return_0bps,annualized_return_0bps,total_return_10bps,annualized_return_10bps,annualized_volatility_10bps,sharpe_10bps,max_drawdown_10bps,trade_hit_rate_10bps,average_trade_return_10bps,profit_factor_10bps,total_return_25bps,annualized_return_25bps,benchmark_annualized_return
x,bottom_contrarian,10,7,180,long_short,10,0.0,2.0,0.0,1.0,2025-08-05,2026-06-25,224,224,10,0,1.0,8.035714285714286,0.1701125026569672,0.1933176722458223,0.16734697919517938,0.190145227106981,0.5459011902543305,0.5913093627003412,-0.363649478490503,0.9,0.28834831434443287,15.12912740166967,0.16320948942796742,0.18540069779029755,0.18430449651636627
x,bottom_contrarian,10,7,180,short_only,10,0.0,2.0,0.0,1.0,2025-08-05,2026-06-25,224,224,10,0,1.0,8.035714285714286,0.1701125026569672,0.1933176722458223,0.16734697919517938,0.190145227106981,0.5459011902543305,0.5913093627003412,-0.363649478490503,0.9,0.28834831434443287,15.12912740166967,0.16320948942796742,0.18540069779029755,0.18430449651636627
x,bottom_contrarian,10,14,1,long_short,314,1.4968152866242037,2.378980891719745,0.36977176220806796,0.9488777676675767,2025-08-05,2026-07-16,234,108,314,0,0.46153846153846156,1.3418803418803418,0.08160759079996116,0.08815428029931183,-0.029233814786640888,-0.03144684851593049,0.5424768216055859,0.21596161851421986,-0.3852002567215719,0.554140127388535,0.0034876807087076615,1.2188340425268411,-0.17473483669183698,-0.18683696317155585,0.20411281902378375
x,bottom_contrarian,10,14,1,long_only,27,2.0,2.6296296296296298,0.5049382716049382,0.8518518518518519,2025-12-15,2026-07-15,141,23,27,0,0.16312056737588654,0.19148936170212766,0.05766121416586212,0.10538364329268313,0.033624039590443466,0.06088749473396815,0.340049961724637,0.3456902379282494,-0.17139821374273023,0.5555555555555556,-0.0018387871193146876,0.8927721331837142,-0.0014545360128812579,-0.002598107777535108,0.1871036222908955
x,bottom_contrarian,10,14,1,short_only,287,1.4494773519163764,2.3554006968641117,0.35705574912891985,0.9580056412809027,2025-08-05,2026-07-16,234,101,287,0,0.43162393162393164,1.2264957264957266,0.027374064703736156,0.02951054167820466,-0.07148524516446919,-0.07676762492582778,0.5627935194754912,0.14161747427121393,-0.41096983397606723,0.554006968641115,0.003988776985211506,1.252076958879383,-0.20237964292352006,-0.21613351988479035,0.20411281902378375
x,bottom_contrarian,10,14,5,long_short,250,1.516,2.224,0.38323333333333337,0.953,2025-08-05,2026-07-16,234,199,236,14,0.8504273504273504,5.042735042735043,-0.4204321126485542,-0.4442473156797583,-0.4429965285428732,-0.4675136127788445,0.6738125369487028,-0.5650908654215291,-0.6376390607114631,0.5,-0.002307932165734496,0.9522560278193468,-0.4752202798535464,-0.500613478885379,0.20411281902378375
x,bottom_contrarian,10,14,5,long_only,24,2.25,2.5833333333333335,0.5680555555555555,0.8576388888888888,2025-12-15,2026-07-16,142,77,23,1,0.5422535211267606,0.8098591549295775,0.28738984425510283,0.5656574886167727,0.268456510949977,0.5250279153848294,0.41554445358925546,1.2228853742535704,-0.23390558621044477,0.5652173913043478,0.00950057169521554,1.2611199311959278,0.24056188127485445,0.46601952150324144,0.17429307094276192
x,bottom_contrarian,10,14,5,short_only,226,1.4380530973451326,2.185840707964602,0.36360619469026545,0.9631268436578171,2025-08-05,2026-07-10,230,195,217,9,0.8478260869565217,4.717391304347826,-0.40352324752517743,-0.4322873723684346,-0.42623999382045896,-0.4559331080492246,0.7168053556391716,-0.45903245320513014,-0.6545638028116931,0.4930875576036866,-0.0030755585952261526,0.9378125211527609,-0.4587170954896833,-0.4895822524337964,0.21546848135844932
x,bottom_contrarian,10,14,20,long_short,198,1.4242424242424243,2.207070707070707,0.37316017316017314,0.952020202020202,2025-08-05,2026-07-14,232,225,146,52,0.9698275862068966,12.560344827586206,0.550418667111116,0.6101524786991226,0.5301677762758343,0.5873212571007105,0.45197373894957754,1.247898591198526,-0.2996515831346923,0.5821917808219178,0.0077154668035738245,1.0909902039209003,0.5002792865093968,0.5536720907521926,0.20797950994221348
x,bottom_contrarian,10,14,20,long_only,20,2.3,2.6,0.5650000000000001,0.8625,2025-12-15,2026-07-02,137,122,15,5,0.8905109489051095,2.18978102189781,0.4736113016436476,1.0404515661576013,0.463758692351915,1.0154277395905629,0.4609267617377319,1.7494144202474555,-0.2654287086221643,0.6,0.025100693795046765,1.7103206194465512,0.44909731031030375,0.9784515578547213,0.16406474569356044
x,bottom_contrarian,10,14,20,short_only,178,1.3258426966292134,2.162921348314607,0.35160513643659713,0.9620786516853933,2025-08-05,2026-07-14,232,225,139,39,0.9698275862068966,11.956896551724139,0.38820078772439026,0.42801462744482155,0.37014041265470055,0.40784605727560064,0.48705146551370054,0.9459011978645449,-0.32116162548417126,0.5755395683453237,0.004591039604820048,1.0517732212521436,0.3434832242853856,0.37811910051037945,0.20797950994221348
x,bottom_contrarian,10,14,60,long_short,121,1.3553719008264462,2.1983471074380163,0.3729240456513184,0.9648760330578512,2025-08-05,2026-07-15,233,233,71,50,1.0,18.283261802575108,0.11813327127966633,0.1283607787987231,0.11265778462243081,0.12238582013993726,0.39977727393373014,0.4877321536169049,-0.32911649265435594,0.6197183098591549,0.038956826751131275,1.3779133732765403,0.10449311191374133,0.11348082448079988,0.21217540707020643
x,bottom_contrarian,10,14,60,long_only,15,2.6,2.533333333333333,0.62,0.9055555555555556,2025-12-15,2026-06-29,134,134,11,4,1.0,4.925373134328358,0.1572085329068964,0.3159873575047616,0.15371723770605983,0.30853068545698714,0.3322955899834581,0.9748328625989312,-0.18608706351590076,0.45454545454545453,0.058735860118280074,1.680817102543603,0.14849831536132396,0.2974211705868972,0.1569071297453093
x,bottom_contrarian,10,14,60,short_only,106,1.179245283018868,2.150943396226415,0.33796046720575024,0.9732704402515724,2025-08-05,2026-07-15,233,233,67,39,1.0,17.253218884120173,0.035618918371970176,0.03857881209588765,0.030584012865853216,0.03311885535489023,0.4383902564159433,0.2928622286433019,-0.38447526360893536,0.5970149253731343,0.018862953015434874,1.1687992267530054,0.023075962236290604,0.024981010811170767,0.21217540707020643
