breakdown_type,group_value,source_scope,indicator,window_days,outcome_horizon,direction,cost_bps,n_events,raw_hit_rate,excess_hit_rate,excess_hit_ci_low,excess_hit_ci_high,avg_directional_return_pct,median_directional_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,avg_directional_excess_pct,median_directional_excess_pct,excess_profit_factor
position_policy,non_overlapping_same_ticker,all,author_net,7,5D,all,0,476,0.5063025210084033,0.4884210526315789,0.4437419252895124,0.533285961921651,0.008028799627081277,0.0010602693687914444,0.0794573042538624,-0.06522341150080915,1.2182328772066249,1.2493366953480707,0.004757591339863023,-0.0014376306749310785,1.152889489742711
position_policy,non_overlapping_same_ticker,all,author_net,7,60D,all,0,110,0.509090909090909,0.41818181818181815,0.33029106092011495,0.5115943103104936,0.07345235070834048,0.004885897037228859,0.32408155717288617,-0.1864594189585958,1.738080913170978,1.8024542803254588,0.039288170453324105,-0.02419685226478907,1.3772647507919973
position_policy,non_overlapping_same_ticker,all,author_net,7,90D,all,0,72,0.5694444444444444,0.5138888888888888,0.40069754605192803,0.6256732547092813,0.06894456674246291,0.04387867794525768,0.35183376116153925,-0.3051992065214768,1.1528003796981718,1.5246714699233888,0.0348195822483914,0.009222370381060219,1.2446817172474463
position_policy,non_overlapping_same_ticker,all,author_net,90,1D,all,0,515,0.5300970873786408,0.5262135922330097,0.48305523119669536,0.5689837867749408,0.0032248912274836766,0.001463498622589543,0.025907694104818156,-0.022835365014604488,1.1345425872653554,1.3068781701411056,0.002821023666593909,0.0010454974987581522,1.276514372678773
position_policy,non_overlapping_same_ticker,all,author_net,90,20D,all,0,376,0.48404255319148937,0.4601063829787234,0.4103860151501932,0.5106336647627316,0.003275387963198051,-0.004780605585226361,0.14653471420424627,-0.13112253665469253,1.117540263807901,1.0484140619228761,-0.008917324004629665,-0.014710752296096197,0.8749867895099559
position_policy,non_overlapping_same_ticker,all,author_net,90,5D,all,0,475,0.5242105263157895,0.5126582278481012,0.46773995096246174,0.5573729809074849,0.008286119878157083,0.0037580312765184143,0.07356592389062654,-0.06363720401168758,1.1560206805615698,1.2736688029196057,0.004870355506012815,0.002066654880170271,1.1627699605919808
position_policy,non_overlapping_same_ticker,all,author_net,90,60D,all,0,203,0.5221674876847291,0.45320197044334976,0.3862250954495742,0.5219171111064594,0.024428520941319084,0.012622188478694119,0.25660522394295365,-0.22929035038005477,1.119127880949302,1.222964488460062,-0.013690285660744298,-0.02296114249886827,0.8914048878120845
position_policy,non_overlapping_same_ticker,all,author_net,90,90D,all,0,128,0.5,0.46875,0.3844747677270395,0.5548462920400548,-0.005954297737176904,0.0035301669327409413,0.2996865241113001,-0.3115951195856539,0.9617818292847804,0.9617818292847804,-0.043212971107665414,-0.04434851586603239,0.7509843456752856
position_policy,non_overlapping_same_ticker,all,author_net_shift,1,1D,all,0,7,0.14285714285714285,0.16666666666666666,0.030053369748306635,0.5635028221864702,-0.013946543491117378,-0.01317980682304809,0.045960758218500763,-0.023931093776053736,1.920545656985,0.32009094283083334,-0.01038654191390559,-0.009811270145382578,0.4298337656053272
position_policy,non_overlapping_same_ticker,all,author_net_shift,1,5D,all,0,2,0.5,,,,0.008564462991199118,0.008564462991199118,0.12753610348188182,-0.11040717749948359,1.1551432286408947,1.1551432286408947,,,
position_policy,non_overlapping_same_ticker,all,author_net_shift,3,1D,all,0,22,0.6818181818181818,0.7222222222222222,0.4912734343970254,0.8750024662044601,0.005446243453495692,0.006966624948314959,0.018134850061728235,-0.021743627849859757,0.8340305576856717,1.7872083378978678,0.011318189689330436,0.009214440077453423,4.463577175734695
position_policy,non_overlapping_same_ticker,all,author_net_shift,3,20D,all,0,6,0.3333333333333333,0.3333333333333333,0.09677141110578041,0.700006684861608,-0.08271433112983229,-0.08286993299736606,0.06776708793864628,-0.15795504066407157,0.42902770088084036,0.21451385044042018,-0.08512410795827917,-0.07797659703639459,0.15499685104913224
position_policy,non_overlapping_same_ticker,all,author_net_shift,3,5D,all,0,11,0.2727272727272727,0.25,0.071479212752109,0.5907245696898311,-0.04420656143204996,-0.04031014101041541,0.0369034005479677,-0.07462279717455658,0.49453252819837074,0.18544969807438902,-0.04235116967310844,-0.03312308997737068,0.1510522304941716
