top_percentile,min_same_authors,min_consensus,window_days,horizon_days,split_day,split,raw_events,n_events,n_tickers,n_months,max_ticker_share,excess_hit_rate,excess_hit_ci_low,excess_hit_ci_high,avg_directional_excess_pct,median_directional_excess_pct,excess_payoff_ratio,excess_profit_factor,positive_month_rate,avg_monthly_excess_pct,monthly_lcb_score
10,2,0.6,7,20,2026-03-12,train,204,117,59,7,0.05128205128205128,0.5213675213675214,0.43161942117123564,0.6097571067918954,0.004394162951275005,0.005659076138051167,0.9899464255877962,1.0783344993009922,0.5714285714285714,0.02824119399104461,8.983851207337509e-05
10,2,0.6,7,20,2026-03-12,test,264,155,111,4,0.01935483870967742,0.4774193548387097,0.400286462053026,0.5556444387837522,0.004738690504862195,-0.007065578107517956,1.1629158121615417,1.0624169148142482,0.5,-0.005512652142861508,-0.04440900390288311
10,2,0.67,7,20,2026-03-12,all,492,289,132,11,0.02768166089965398,0.5017301038062284,0.4444410920800055,0.5589737249477034,0.009084130271606383,0.0005565390717054974,1.1352455781474335,1.1431292279956797,0.6363636363636364,0.020099680930368482,-0.0035860110673875123
10,2,0.67,7,20,2026-03-12,train,194,113,58,7,0.05309734513274336,0.5309734513274337,0.43946269655912307,0.6204475448111277,0.007192605774048136,0.005659076138051167,0.996728750259493,1.1283721701050864,0.7142857142857143,0.03510621323209763,0.005390158467902223
10,2,0.67,7,20,2026-03-12,test,255,152,110,4,0.019736842105263157,0.4934210526315789,0.4150885967902005,0.5720778477802321,0.010193197548956095,-0.0029418252533367495,1.1681407848462055,1.137799465759291,0.5,-0.0043500367530688155,-0.04578932005652635
10,2,0.75,7,20,2026-03-12,all,490,289,132,11,0.02768166089965398,0.4982698961937716,0.44102627505229663,0.5555589079199945,0.00898562357229793,-1.2878687169259884e-05,1.149279992423644,1.1413539235103776,0.6363636363636364,0.020288997551802135,-0.0033738326225121774
10,2,0.75,7,20,2026-03-12,train,194,113,58,7,0.05309734513274336,0.5309734513274337,0.43946269655912307,0.6204475448111277,0.007192605774048136,0.005659076138051167,0.996728750259493,1.1283721701050864,0.7142857142857143,0.03510621323209763,0.005390158467902223
10,2,0.75,7,20,2026-03-12,test,253,152,110,4,0.019736842105263157,0.4868421052631579,0.4086917071593119,0.5656411819815536,0.010005905206191995,-0.004925289711233682,1.19626692604462,1.1349199041961777,0.5,-0.003161261161165596,-0.04485439263732407
10,2,0.8,7,20,2026-03-12,all,488,287,132,11,0.027874564459930314,0.5052264808362369,0.4476973296659891,0.5626175683962212,0.011726277386503685,0.0007976025420115551,1.1619347972397802,1.1864827154913247,0.7272727272727273,0.022460600510937425,-0.0014194275233467939
10,2,0.8,7,20,2026-03-12,train,189,112,58,7,0.05357142857142857,0.5267857142857143,0.4349725864921189,0.6168223413435806,0.008863546006402748,0.0036083418563523373,1.0425766455167573,1.1606041902922393,0.7142857142857143,0.03776702135890681,0.008050669255241769
10,2,0.8,7,20,2026-03-12,test,254,152,110,4,0.019736842105263157,0.5,0.4214987462633732,0.5785012537366268,0.01321757625905815,-0.0006330583799949441,1.1794141565825496,1.1794141565825496,0.75,-0.001744192457168128,-0.04439274050709342
10,3,0.55,7,20,2026-03-12,all,181,103,44,11,0.08737864077669903,0.5048543689320388,0.4098754392292435,0.5994842233122258,0.03567020742621875,0.000747793262859453,1.7000913908999484,1.7334265162117122,0.6363636363636364,0.021546129898789932,-0.009857231383351258
10,3,0.55,7,20,2026-03-12,train,71,40,24,7,0.125,0.475,0.329354701126789,0.6250263789330753,-0.010822493205931196,-9.19314761093637e-05,0.8855123279838861,0.8011778205568493,0.7142857142857143,0.00905085079342526,-0.027554506268514335
10,3,0.55,7,20,2026-03-12,test,100,56,37,4,0.05357142857142857,0.5178571428571429,0.39010383924176983,0.6433178058754173,0.06955850544991869,0.007007284956826676,2.273989096645697,2.4424327334342673,0.5,0.048596844959629085,-0.019133020800107606
