asof_day,source,segment_type,segment_key,population,ranked_rows
2025-08-05,x,investor_type,flow_momentum,11,11
2025-08-05,x,investor_type,fundamental,4,4
2025-08-05,x,investor_type,technical,7,7
2025-08-05,x,narrative,ai_infra,1,1
2025-08-05,x,narrative,crypto,3,3
2025-08-05,x,narrative,ev,1,1
2025-08-05,x,narrative,semis,2,2
2025-08-05,x,narrative,software,1,1
2025-08-06,x,horizon,180D,4,4
2025-08-06,x,horizon,1D,29,29
2025-08-06,x,horizon,20D,9,9
2025-08-06,x,horizon,5D,23,23
2025-08-06,x,horizon,60D,5,5
2025-08-06,x,horizon,90D,4,4
2025-08-06,x,investor_type,flow_momentum,11,11
2025-08-06,x,investor_type,fundamental,3,3
2025-08-06,x,investor_type,technical,8,8
2025-08-06,x,narrative,ai_infra,1,1
2025-08-06,x,narrative,crypto,2,2
2025-08-06,x,narrative,ev,1,1
2025-08-06,x,narrative,semis,3,3
2025-08-06,x,narrative,software,1,1
2025-08-07,x,horizon,180D,4,4
2025-08-07,x,horizon,1D,30,30
2025-08-07,x,horizon,20D,10,10
2025-08-07,x,horizon,5D,23,23
2025-08-07,x,horizon,60D,5,5
2025-08-07,x,horizon,90D,4,4
2025-08-07,x,investor_type,flow_momentum,11,11
2025-08-07,x,investor_type,fundamental,3,3
2025-08-07,x,investor_type,technical,8,8
2025-08-07,x,narrative,ai_infra,1,1
2025-08-07,x,narrative,crypto,2,2
2025-08-07,x,narrative,ev,2,2
2025-08-07,x,narrative,semis,3,3
2025-08-07,x,narrative,software,1,1
2025-08-08,x,horizon,180D,4,4
2025-08-08,x,horizon,1D,33,33
2025-08-08,x,horizon,20D,10,10
2025-08-08,x,horizon,5D,23,23
2025-08-08,x,horizon,60D,5,5
2025-08-08,x,horizon,90D,4,4
2025-08-08,x,investor_type,flow_momentum,11,11
2025-08-08,x,investor_type,fundamental,4,4
2025-08-08,x,investor_type,technical,9,9
2025-08-08,x,narrative,ai_infra,1,1
2025-08-08,x,narrative,crypto,2,2
2025-08-08,x,narrative,ev,3,3
2025-08-08,x,narrative,semis,4,4
2025-08-08,x,narrative,software,1,1
2025-08-09,x,horizon,180D,4,4
2025-08-09,x,horizon,1D,35,35
2025-08-09,x,horizon,20D,10,10
2025-08-09,x,horizon,5D,25,25
2025-08-09,x,horizon,60D,6,6
2025-08-09,x,horizon,90D,4,4
2025-08-09,x,investor_type,flow_momentum,11,11
2025-08-09,x,investor_type,fundamental,4,4
2025-08-09,x,investor_type,technical,10,10
2025-08-09,x,narrative,ai_infra,1,1
2025-08-09,x,narrative,crypto,2,2
2025-08-09,x,narrative,ev,3,3
2025-08-09,x,narrative,semis,4,4
2025-08-09,x,narrative,software,1,1
2025-08-10,x,horizon,180D,4,4
2025-08-10,x,horizon,1D,35,35
2025-08-10,x,horizon,20D,10,10
2025-08-10,x,horizon,5D,25,25
2025-08-10,x,horizon,60D,6,6
2025-08-10,x,horizon,90D,4,4
2025-08-10,x,investor_type,flow_momentum,11,11
2025-08-10,x,investor_type,fundamental,4,4
2025-08-10,x,investor_type,technical,10,10
2025-08-10,x,narrative,ai_infra,1,1
2025-08-10,x,narrative,crypto,2,2
2025-08-10,x,narrative,ev,3,3
2025-08-10,x,narrative,semis,4,4
2025-08-10,x,narrative,software,1,1
2025-08-11,x,horizon,180D,4,4
2025-08-11,x,horizon,1D,35,35
2025-08-11,x,horizon,20D,10,10
2025-08-11,x,horizon,5D,25,25
2025-08-11,x,horizon,60D,6,6
2025-08-11,x,horizon,90D,4,4
2025-08-11,x,investor_type,flow_momentum,11,11
2025-08-11,x,investor_type,fundamental,4,4
2025-08-11,x,investor_type,technical,10,10
2025-08-11,x,narrative,ai_infra,1,1
2025-08-11,x,narrative,crypto,2,2
2025-08-11,x,narrative,ev,3,3
2025-08-11,x,narrative,semis,4,4
2025-08-11,x,narrative,software,1,1
2025-08-12,x,horizon,180D,4,4
2025-08-12,x,horizon,1D,35,35
2025-08-12,x,horizon,20D,14,14
2025-08-12,x,horizon,5D,26,26
2025-08-12,x,horizon,60D,6,6
2025-08-12,x,horizon,90D,4,4
2025-08-12,x,investor_type,flow_momentum,11,11
2025-08-12,x,investor_type,fundamental,5,5
2025-08-12,x,investor_type,technical,12,12
2025-08-12,x,narrative,ai_infra,1,1
2025-08-12,x,narrative,crypto,2,2
2025-08-12,x,narrative,ev,3,3
2025-08-12,x,narrative,semis,4,4
