source_scope,segment_type,segment_key,window_days,rank_band,outcome_horizon,direction,n_events,raw_hit_rate,excess_hit_rate,excess_hit_ci_low,excess_hit_ci_high,avg_directional_return_pct,median_directional_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,avg_directional_excess_pct,median_directional_excess_pct,excess_payoff_ratio,excess_profit_factor,avg_max_favorable_excess,avg_max_adverse_excess,updated_at
x,horizon,90D,30,top25,180D,bull,6,0.5,0.3333333333333333,0.09677141110578041,0.700006684861608,-0.022980443213638752,-0.0025276981969982737,0.1232755286665086,-0.1692364150937861,0.7284220042015942,0.7284220042015942,-0.13411811121916026,-0.10958538270487334,0.1764617482867214,0.0882308741433607,0.11975496226669084,-0.19424720050220445,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top25,1D,all,230,0.4391304347826087,0.43043478260869567,0.36810543269226353,0.4950497145541575,-0.0032112388497741525,-0.0028485177235412773,0.022303687266492775,-0.023188041467936626,0.9618616258442225,0.7530854589943137,-0.003367014443770151,-0.002391825731604791,0.9581559157850342,0.7241025623108274,-0.003367014443770151,-0.003367014443770151,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top25,1D,bear,21,0.6666666666666666,0.7619047619047619,0.5490882631704924,0.8937198697736354,0.01602866036775736,0.007954577395508311,0.02954378884322741,-0.011001596583182735,2.6854092149123745,5.370818429824749,0.016620212308671105,0.00841726130762721,1.995172987540788,6.384553560130522,0.016620212308671105,0.016620212308671105,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top25,1D,bull,209,0.41626794258373206,0.39712918660287083,0.333224427271361,0.4647472637786198,-0.00514443446493282,-0.004360577294126755,0.02113861344954697,-0.02388726371542251,0.8849323933196707,0.6310583460558308,-0.005375300385403004,-0.0037724781925502215,0.896111331960077,0.5902955599419554,-0.005375300385403004,-0.005375300385403004,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top25,20D,all,181,0.46408839779005523,0.48066298342541436,0.40903705648289873,0.5530926516212211,0.028335174114608095,-0.005386202154480824,0.18508037671226174,-0.10740293947511259,1.7232338110741239,1.4922849497961483,0.019080877798263927,-0.001956657939990558,1.4472255132551115,1.3394534005659011,0.13029020030145017,-0.08685804688274704,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top25,20D,bear,14,0.2857142857142857,0.35714285714285715,0.1634473175355414,0.612355768960926,-0.021002136181519773,-0.03779344184949274,0.2042213508802403,-0.11109153100622379,1.8383161077220098,0.7353264430888039,-0.008706098608434338,-0.02701174011514995,1.5626797553981617,0.8681554196656455,0.0804601569340275,-0.07202286741923036,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top25,20D,bull,167,0.47904191616766467,0.49101796407185627,0.4162558957192636,0.566183963898485,0.03247123605560085,-0.0043764029520534375,0.18412332800386283,-0.10697896343705382,1.7211171438597888,1.5826364541239435,0.02141032492217875,-0.0002522672038667295,1.43728528818149,1.3865575721280257,0.13446756920650357,-0.08810171462220352,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top25,5D,all,200,0.5422885572139303,0.53,0.4609168291500183,0.5979524512673458,0.008147296360977881,0.004790981681540574,0.06488967133667575,-0.059080082686316336,1.0983341320154412,1.3012871781487294,0.007107701946469005,0.0038014292119585846,1.1352044506750696,1.2801241677825252,0.043863972050551765,-0.03487643569379978,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top25,5D,bear,16,0.3125,0.4375,0.23098652405492354,0.6682144360118811,-0.009155723577801943,-0.015551773420318105,0.09669836130477691,-0.05727121670624688,1.6884286185285373,0.7674675538766079,-0.003581648203811981,-0.005378461536282075,1.1416200711542985,0.887926722008899,0.03801938655357637,-0.025587928043839962,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top25,5D,bull,184,0.5621621621621622,0.5380434782608695,0.46596580869305687,0.6085651286617463,0.00964377376108857,0.00577982884537831,0.06336040739590167,-0.059325731152745524,1.0680088751501113,1.3712706545137232,0.008037210655189092,0.004206143673626261,1.1368281352778595,1.3240704163824482,0.04436944971515504,-0.035679766085147654,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top25,60D,all,114,0.5217391304347826,0.4298245614035088,0.3427011480788536,0.5215232075925629,0.15897761764923155,0.0077313894411308315,0.4240816751583148,-0.13022680872431378,3.2564851992655592,3.5525293082897007,0.12164106268130653,-0.018562586031317996,3.5910748650974886,2.7071179752273378,0.2875749295494207,-0.13682085033811958,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top25,60D,bear,8,0.125,0.125,0.02241749145005667,0.4708881822128535,-0.10912803336699577,-0.11391051552961806,0.09038901601830662,-0.13763046899346754,0.6567514931784242,0.09382164188263203,-0.05220263617621865,-0.0573422595984292,1.103960917590213,0.15770870251288757,0.04771824192073533,-0.15355862422131117,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top25,60D,bull,106,0.5514018691588785,0.4528301886792453,0.36137723199579247,0.5475824622092521,0.1790228999682018,0.023246723384686252,0.4297374829403488,-0.1291471082683955,3.327503718064378,4.090056653454131,0.13476134184036503,-0.009878564074715213,3.4713528471192423,2.872843735546959,0.3055081398394159,-0.13556942799171273,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top25,90D,all,78,0.5512820512820513,0.48717948717948717,0.37948952024893845,0.5960729876923999,0.1601022438645424,0.02629500266393553,0.40691597618438097,-0.14312605584268787,2.8430600828658954,3.492902387520958,0.11207744723875147,-0.01216766648617812,2.420191592398655,2.299182012778722,0.2969310674839106,-0.1619643434785101,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top25,90D,bear,6,0.8333333333333334,0.8333333333333334,0.43649717781352987,0.9699466302516935,0.05877752667955668,0.04759235983246296,0.0817825784047265,-0.0562477319462924,1.4539711304771505,7.269855652385752,0.09581233181015865,0.08877941087445973,2.1946003165551424,10.973001582775712,0.1497047206904667,-0.1148206105820282,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top25,90D,bull,72,0.5277777777777778,0.4583333333333333,0.34828627057626194,0.5726013271401095,0.16854597029662452,0.01670140420051336,0.44969668641854604,-0.1456813006631701,3.086852494942301,3.450011611994336,0.11343287352446756,-0.026082575784042827,2.6286420959031447,2.2242356196103534,0.30919992971669763,-0.16589298788655027,2026-07-19T16:54:32+00:00
